customer_id,name,email,signup_date,region
50,Sara Moore,nicoleadams@eaton-johnson.org,2023-10-06,South
51,Jared Wall,campbellkevin@ashley.com,2024-05-25,North
52,Scott Martinez,joseph42@rodriguez.com,2023-07-27,East
53,Matthew Thompson,franklinjessica@yahoo.com,2024-05-08,East
54,Yvonne Palmer,santanarichard@gmail.com,2022-05-21,West
55,Tony Henderson,cmccarthy@gmail.com,2022-01-24,North
56,Lisa Thomas,daviddanielle@gmail.com,2022-01-15,East
57,James White,nelsonchristina@gmail.com,2024-07-29,South
58,Krystal Pope,pricegavin@hotmail.com,2023-08-23,North
59,Anthony Ochoa,nwatson@ramos-bond.org,2022-09-05,North
60,Anthony Ferguson,burnettdylan@hotmail.com,2022-08-22,North
61,Brandon Curtis,david80@thompson.com,2022-12-03,South
62,Ashley Kim,pauljones@ortiz-banks.biz,2024-04-28,South
63,Sharon Brown,mary30@davenport-rush.com,2023-03-26,East
64,Jeffrey Williams,robertsscott@foster.org,2023-03-26,East
65,Jennifer Barker,michaelbaker@lee.com,2023-06-27,East
66,Pam Martin,ingramchristina@gmail.com,2024-02-23,West
67,Shane Carroll,pearsoncheryl@leonard.com,2022-10-26,North
68,Anthony Evans,angela25@krause.com,2022-03-16,South
69,William Garcia,jedwards@gmail.com,2023-12-22,East
70,Courtney Parker,christinedecker@meyer.com,2022-12-05,South
71,Christopher Camacho,andrewsmaurice@gmail.com,2022-02-01,West
72,Frances Myers,ioneill@hotmail.com,2024-01-09,East
73,Mary Porter,emmamiller@hotmail.com,2023-09-07,North
74,Ashlee Burton,eholland@velasquez.com,2024-09-29,East
75,Stephanie Montes,ybass@yahoo.com,2024-07-21,North
76,Mrs. Mary Scott,bryantdavid@yahoo.com,2022-05-29,West
77,Wanda Pope,paulmarcus@hotmail.com,2022-09-09,East
78,Richard Camacho,barnesrobin@garza-burton.com,2022-10-23,South
79,Michael Thomas,martinezanthony@gmail.com,2024-02-12,South
80,Patricia Dean,amckinney@colon-mathis.com,2023-11-11,West
81,Wanda Harris,nicole67@taylor.biz,2024-12-29,East
82,Daniel Barajas,mcculloughdavid@hotmail.com,2023-03-06,East
83,Carla Miranda,darin34@white-waters.com,2023-03-27,South
84,Joseph Mendoza,lindseymullen@miller.com,2022-07-07,West
85,Stephen Barnes,foleythomas@miller-strong.com,2024-07-28,North
86,Dawn Nguyen,douglas99@hartman.com,2022-01-31,West
87,Maria Ellis,vyoung@hotmail.com,2022-01-27,West
88,Dylan Smith,jacob85@yahoo.com,2023-09-16,West
89,Sue Hogan,njackson@martinez.net,2024-08-07,West
90,Antonio Thompson,lammary@edwards.com,2023-03-01,North
91,Erica Anderson,amybryant@hotmail.com,2023-03-23,East
92,Brianna Morales,jane36@yahoo.com,2023-03-26,North
93,Lindsay Garrett,evelynperry@yahoo.com,2023-04-20,West
94,Cassandra Sparks,grantstephen@hotmail.com,2023-06-17,West
95,Alexander Davis,nancyperez@wilson.biz,2024-02-01,West
96,Micheal Miller,doris79@yahoo.com,2024-10-26,North
97,Douglas Baker,debbie40@yahoo.com,2023-05-29,West
98,Michael Martinez,angelapeterson@anthony.com,2023-07-07,South
99,Natalie Cox,danielle97@gmail.com,2022-12-29,North
100,April Smith,olsoncharles@hotmail.com,2022-02-21,South
